Comparative Analysis of Hybrid Cryptosystems for Secure Image Encryption|https://ieeexplore.ieee.org/abstract/document/10728982/
[HTML][HTML] Enhancing data security using Laplacian of Gaussian and Chacha20 encryption algorithm|https://www.degruyter.com/document/doi/10.1515/jisys-2024-0191/html
Cloud Data Security Improvement Using Cryptographic Steganography by Truly Random and Cryptographically Secure Random Number|https://norma.ncirl.ie/id/eprint/7047
[PDF][PDF] Advancing Image Encryption Technology: A Novel Hybrid Algorithm with AES, ChaCha20, and GOST Integration|https://www.researchgate.net/profile/Syed-Raza-Shirazi/publication/383064114_Advancing_Image_Encryption_Technology_A_Novel_Hybrid_Algorithm_with_AES_ChaCha20_and_GOST_Integration/links/66bb1fde299c327096c41811/Advancing-Image-Encryption-Technology-A-Novel-Hybrid-Algorithm-with-AES-ChaCha20-and-GOST-Integration.pdf
Analysis of cryptography algorithms implemented in android mobile application|https://www.itc.ktu.lt/index.php/ITC/article/view/29464
Enhancing the security of message in the QR Code using a Combination of Steganography and Cryptography|https://norma.ncirl.ie/4178/
Multimedia security using encryption: A survey|https://ieeexplore.ieee.org/abstract/document/10156833/
A Survey on Lightweight Encryption Methods for IoT-Enabled Healthcare Applications|https://dl.acm.org/doi/abs/10.1145/3644713.3644839

Performance-Security Tradeoff of Multi-Dimensional Chaotic Maps for Resource-Constrained Environments|https://ieeexplore.ieee.org/abstract/document/10677753/
